epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4086,1.26893,2.92684,1.08132,0.79763,0.96,0.91957,0.61008,1.00942,1.70814,0.89931,0.000665333,0.000665333,0.000665333
2,76.8471,0.97563,1.49834,0.95072,0.98618,0.99884,0.9946,0.72919,0.86733,0.84118,0.87164,0.00130563,0.00130563,0.00130563
3,112.178,0.89057,1.12052,0.94642,0.95346,0.98336,0.9875,0.71396,0.81851,0.89184,0.88282,0.00191952,0.00191952,0.00191952
4,146.102,0.83234,0.89253,0.927,0.99963,1,0.995,0.77932,0.75347,0.68014,0.85736,0.0018812,0.0018812,0.0018812
5,187.068,0.72276,0.73869,0.8934,0.9968,1,0.99402,0.78897,0.70958,0.68596,0.85663,0.0018416,0.0018416,0.0018416
6,228.309,0.76337,0.67468,0.8909,0.99877,1,0.995,0.82928,0.68728,0.57674,0.86064,0.001802,0.001802,0.001802
7,265.494,0.71927,0.62146,0.88399,0.99284,1,0.995,0.88697,0.54463,0.54507,0.94614,0.0017624,0.0017624,0.0017624
8,300.093,0.6565,0.57879,0.91093,0.99985,1,0.995,0.87103,0.53821,0.48859,0.92739,0.0017228,0.0017228,0.0017228
9,334.171,0.57065,0.52325,0.88195,0.99984,1,0.995,0.88332,0.50731,0.40552,0.86508,0.0016832,0.0016832,0.0016832
10,368.373,0.55544,0.48802,0.87405,0.99984,1,0.995,0.883,0.48419,0.40657,0.82672,0.0016436,0.0016436,0.0016436
11,403.692,0.55486,0.47339,0.84974,0.99992,1,0.995,0.91265,0.42525,0.42024,0.8185,0.001604,0.001604,0.001604
12,438.548,0.47257,0.42175,0.84783,0.99993,1,0.995,0.93441,0.39713,0.37387,0.8169,0.0015644,0.0015644,0.0015644
13,472.485,0.47308,0.42033,0.84517,1,0.99958,0.995,0.8978,0.48161,0.42694,0.84521,0.0015248,0.0015248,0.0015248
14,506.367,0.49096,0.43873,0.84883,0.99981,1,0.995,0.87353,0.54687,0.43801,0.82497,0.0014852,0.0014852,0.0014852
15,540.345,0.51366,0.4345,0.84241,0.99993,1,0.995,0.933,0.36935,0.34595,0.80292,0.0014456,0.0014456,0.0014456
16,574.032,0.45641,0.40164,0.83502,0.99984,1,0.995,0.92822,0.37385,0.34685,0.81237,0.001406,0.001406,0.001406
17,608.28,0.45123,0.40272,0.83175,0.99997,1,0.995,0.92474,0.41084,0.36776,0.84094,0.0013664,0.0013664,0.0013664
18,642.736,0.45666,0.39449,0.84163,0.99993,1,0.995,0.8965,0.47883,0.36778,0.81442,0.0013268,0.0013268,0.0013268
19,677.677,0.44427,0.38146,0.83097,0.99993,1,0.995,0.95327,0.30475,0.31516,0.78989,0.0012872,0.0012872,0.0012872
20,711.292,0.38372,0.34595,0.82924,0.99993,1,0.995,0.90701,0.45441,0.38549,0.80521,0.0012476,0.0012476,0.0012476
