epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0204,1.57879,2.61783,1.17893,0.7559,0.77613,0.84479,0.51047,1.25321,1.74896,1.12364,0.000665,0.000665,0.000665
2,73.7501,1.26908,1.58613,1.07474,0.81702,0.89367,0.92675,0.62755,1.10784,1.18158,1.04277,0.0013053,0.0013053,0.0013053
3,95.2349,1.19417,1.2791,1.02668,0.95522,0.94937,0.98084,0.59082,1.29386,1.04778,1.01772,0.0019192,0.0019192,0.0019192
4,116.922,1.15975,1.14546,1.01284,0.86124,0.92911,0.96355,0.70073,1.02275,0.91305,0.95928,0.0018812,0.0018812,0.0018812
5,138.399,1.01679,0.9891,0.98312,0.9632,0.9443,0.98847,0.73556,0.94935,0.76935,0.93681,0.0018416,0.0018416,0.0018416
6,162.256,0.9243,0.90224,0.95003,0.90657,0.93165,0.97207,0.75502,0.86157,0.70299,0.88647,0.001802,0.001802,0.001802
7,190.706,0.91136,0.84295,0.94221,0.92744,0.94177,0.97935,0.7709,0.83153,0.76616,0.89001,0.0017624,0.0017624,0.0017624
8,216.11,0.88132,0.77803,0.93023,0.9345,0.93165,0.98097,0.79582,0.75135,0.65649,0.90429,0.0017228,0.0017228,0.0017228
9,242.775,0.81504,0.71734,0.91766,0.94492,0.95543,0.9897,0.80413,0.74554,0.6349,0.85944,0.0016832,0.0016832,0.0016832
10,267.851,0.74853,0.65856,0.89587,0.95241,0.97975,0.99122,0.83441,0.64245,0.58099,0.84898,0.0016436,0.0016436,0.0016436
11,293.549,0.77809,0.65535,0.89947,0.95911,0.95023,0.98952,0.81515,0.72203,0.59098,0.88032,0.001604,0.001604,0.001604
12,319.558,0.79041,0.65215,0.90227,0.96136,0.98481,0.99203,0.83248,0.62324,0.5485,0.83792,0.0015644,0.0015644,0.0015644
13,345.954,0.70926,0.61686,0.89138,0.98237,0.96456,0.99249,0.84708,0.58394,0.52142,0.84075,0.0015248,0.0015248,0.0015248
14,370.425,0.6847,0.59014,0.87904,0.97612,0.98734,0.99174,0.83248,0.62225,0.52349,0.8303,0.0014852,0.0014852,0.0014852
15,397.078,0.70141,0.59289,0.87134,0.97794,0.96962,0.98897,0.84138,0.60461,0.52362,0.82731,0.0014456,0.0014456,0.0014456
16,423.119,0.67084,0.58778,0.86605,0.9696,0.96881,0.99082,0.84946,0.61118,0.52617,0.83033,0.001406,0.001406,0.001406
17,448.576,0.6602,0.57756,0.86559,0.96427,0.96962,0.99176,0.85558,0.57736,0.49093,0.82136,0.0013664,0.0013664,0.0013664
18,474.632,0.62087,0.54105,0.85826,0.97951,0.98481,0.99327,0.87877,0.53227,0.47057,0.81579,0.0013268,0.0013268,0.0013268
19,500.196,0.63223,0.53733,0.85912,0.96982,0.97636,0.99195,0.85295,0.60611,0.48609,0.82141,0.0012872,0.0012872,0.0012872
20,525.686,0.59497,0.51192,0.86337,0.96625,0.98481,0.99118,0.8757,0.5126,0.47095,0.82455,0.0012476,0.0012476,0.0012476
21,551.544,0.62778,0.54019,0.86155,0.96093,0.96709,0.99029,0.85123,0.57855,0.50098,0.82619,0.001208,0.001208,0.001208
22,576.846,0.61468,0.52634,0.85648,0.98724,0.97927,0.99432,0.86312,0.55586,0.47753,0.81479,0.0011684,0.0011684,0.0011684
23,602.655,0.62639,0.52408,0.85766,0.97139,0.98987,0.99376,0.873,0.5261,0.4467,0.81384,0.0011288,0.0011288,0.0011288
24,628.132,0.60629,0.50867,0.85179,0.99264,0.98734,0.9946,0.869,0.54453,0.46479,0.82063,0.0010892,0.0010892,0.0010892
25,654.901,0.60251,0.50138,0.85187,0.97008,0.98486,0.99368,0.85891,0.58226,0.49833,0.8203,0.0010496,0.0010496,0.0010496
26,680.343,0.57684,0.49379,0.84606,0.98488,0.98958,0.99407,0.89079,0.4803,0.42006,0.80512,0.00101,0.00101,0.00101
27,705.951,0.55459,0.47923,0.8515,0.97992,0.9883,0.99422,0.88517,0.49194,0.4324,0.81999,0.0009704,0.0009704,0.0009704
